,initial values,1,2,3,4,5,7,9,10,11,12
t1 ,-212.132,-211.9741887,-208.4688705,-204.8247463,-201.1545879,-201.8821771,-197.0668784,-193.8655639,-194.3921472,-194.6294417,-194.5248802
t2,15,14.84227738,14.57376916,14.69831224,14.26870732,14.69185786,13.82362488,13.74946341,13.53894208,13.43445952,13.46551935
t3,212.132,211.8999981,207.9545867,206.1119677,202.6393629,203.333781,196.5708115,191.1045714,190.4718508,190.2506632,190.4423968
Theta1,0,-0.3913773796,-0.1499141794,0.2104408497,-0.1985545567,-0.8590489271,0.4001957739,-0.03550199832,0.02604713029,0.01746702136,0.004496016208
Theta2,1.570796327,1.519267435,1.522170824,1.557432295,1.552401138,1.580159,1.476023612,1.548305077,1.536345521,1.547332089,1.550376237
Theta3,0,0.4205284108,0.1779952581,-0.1884308445,0.2153932504,0.8718637887,-0.3345878984,0.04761408879,-0.01879485563,-0.01210309462,0.004829654404
XLeftOu,-12.02081528,-12.00972663,-11.72170876,-12.10251661,-11.85263504,-12.03940544,-12.32226741,-10.91273455,-11.64187384,-12.03551157,-11.25008046
YLeftOu,0,-8.98E-05,-0.02592797058,-0.007941579058,-0.01925805368,0.01259395613,-0.02782225582,-0.002622299444,0.003562073394,6.75E-05,0.005951575232
ZLeftOu,-12.02081528,-11.98074268,-10.69354712,-13.16982501,-10.92308678,-12.3732111,-16.06815573,-6.092107468,-9.432384954,-11.5895582,-6.919022872
nxLeftOu,0.121869343,0.1873901654,0.2462079697,0.06847688156,0.1241629141,0.1263374767,0.19331856,0.2350437776,0.2289988272,0.1323072919,0.2141264296
nyLeftOu,0,-0.01653268147,-0.02401492959,-0.006906225892,-0.001223659557,-0.00116306914,-0.1899648946,-0.0008098664072,-0.001140476779,0.000199941316,-9.22E-05
nzLeftOu,0.992546152,0.9666912902,0.9556583247,0.9962247461,0.993915213,1.050624914,1.028681277,0.979175593,0.9808506112,0.9973117068,0.9840417472
XLens,10.60660172,10.14430917,8.827065755,10.96484206,9.557744351,10.41386171,10.6327281,10.2997164,8.925204751,9.343178813,9.030594546
YLens,0,0.08033305124,0.2708439817,0.06962326471,0.8823586539,-0.163353522,1.010589676,1.579630312,2.680219723,2.902004402,1.952806186
ZLens,-10.60660172,-10.90610641,-10.75652276,-10.56260896,-10.26302498,-10.73334652,-12.12284264,-12.19954549,-10.46184491,-9.549296977,-11.21566982
XSensor,15.87313302,16.16706668,16.3712639,15.644733,15.65616831,16.30490036,16.0890799,16.21032658,16.47737373,16.07918031,16.08020068
YSensor,0,0.09917662829,0.2591548539,0.158047766,1.032576325,-0.01927452304,-0.4801996926,1.737707899,2.926065817,3.184918138,2.173573889
ZSensor,-15.87313302,-15.57620101,-15.31940955,-16.09634089,-16.07946533,-15.46237394,-15.5597379,-15.69870284,-15.16246834,-15.70433394,-15.77310876
nxSensor,-0.707106781,-0.7904626268,-0.852218881,-0.6329830537,-0.7045047294,-0.8266686615,-0.6730404703,-0.875624954,-0.8583243978,-0.7656795482,-0.8657431732
nySensor,0,0.04414618179,0.0531665044,0.02565480638,0.008029717633,-0.001118411895,0.2687799727,0.008451682056,0.01413868707,0.01861978112,0.01018052155
nzSensor,0.707106781,0.6530062001,0.5462122366,0.7803897162,0.726132551,0.6145024657,0.7215541156,0.6527329825,0.6479680758,0.8147037148,0.6967915016
X_LR,0,-0.0004098481156,-0.004059816684,-0.1340624978,0.02573616078,-0.1387606807,-0.3336343043,0.2913100969,0.2382070914,0.5967926682,1.285221984
Y_LR,0,-0.02162967043,0.006285509289,-0.05105355978,-0.05307690505,-0.0268747864,-0.2170730723,-0.005798074769,-0.03121599133,-0.04194650441,-0.04833233645
Z_LR,0,0.08768419015,0.09700661916,0.2739290685,0.1624056571,-0.1830587158,0.224733128,0.2038689954,0.02143750989,0.196970685,0.5049732326
Theta1_LR,0,-0.12470447,-0.08519050793,0.3096325503,0.3903577458,0.3854448042,0.192298391,-0.02641787484,-0.01135976015,-0.06066056941,-0.06805737075
Theta2_LR,-1.570796327,-1.64981095,-1.78888077,-1.512173855,-1.623698127,-2.225939426,-3.567759918,-1.944495592,-1.831237637,-1.682907564,-1.916035994
Theta3_LR,0,-0.1597126236,-0.07533587375,-0.2647225075,-0.375182205,-0.3551235838,-1.237791355,-0.006813721954,-0.01440966351,0.04283754623,0.03502698352
XRightOu,12.02081528,12.10648918,12.11806627,12.34941778,12.26597388,12.13962718,12.51931155,12.13792074,11.98711663,12.12881435,12.28794121
YRightOu,0,-0.01880345634,0.005760575763,-0.0780402172,-0.09285851522,-0.05449083458,-0.2158211458,0.001756993692,-0.003072930558,0.01726123494,0.03163594007
ZRightOu,-12.02081528,-12.74764673,-12.67913397,-15.07823798,-15.24573189,-14.82921223,-18.56048342,-15.09265473,-12.9997874,-12.28771992,-14.58193158
nxRightOu,-0.121869343,-0.03389444011,0.02042099987,-0.1737843445,-0.1227887013,-0.0443224263,-0.02778005726,-0.01269283558,-0.01851001743,-0.1134252793,-0.03335840842
nyRightOu,0,0.004545358118,0.00579578314,0.003686743328,-0.00776339577,-0.007504189749,0.1194672795,-0.005317629434,-0.00444981987,-0.002805882035,-0.004564223352
nzRightOu,0.992546152,0.9903993937,0.9871085143,0.9516756532,0.9587159523,1.031571435,0.9646560653,0.9715667983,0.972377061,0.9657056615,0.9717366764
mx,0.0028,0.002579022246,0.003090310173,0.002475796091,0.002977201197,0.002477390528,0.002458425971,0.002635900198,0.00337203223,0.003416517182,0.003227850615
my,0.0028,0.002565685356,0.003057864419,0.002439805027,0.002922857483,0.002871319979,0.002735042363,0.002579516189,0.003331212417,0.003383790785,0.003166550198
u0,1008,1008.001132,1008.002147,1007.999234,1007.999362,1008.00144,1008.000833,1008.00101,1008.002908,1008.000779,1008.000582
v0,756,756.000353,756.00075,756.0003758,756.0026891,755.9997463,755.9984959,756.0044084,756.0079994,756.0085734,756.0050535